Epoch, Phase, Right_Label, Pred_umdavb, Pred_rbbb, Pred_lbbb, Pred_sb, Pred_st, Pred_af
   15, val  , sb         ,          70,         2,         0,     336,       0,       0
   15, val  , st         ,          32,         6,         3,       0,     616,      18
   15, val  , af         ,          88,        15,         5,      12,      16,     386
   15, test , umdavb     ,         657,         7,         3,      28,       3,      11
   15, test , rbbb       ,           5,        21,         0,       0,       2,       2
   15, test , lbbb       ,           5,         1,        20,       1,       0,       0
   15, test , sb         ,           6,         0,         0,       9,       0,       0
   15, test , st         ,          16,         2,         0,       1,      16,       0
   15, test , af         ,           7,         0,         0,       1,       0,       3
   16, val  , umdavb     ,        5037,        82,        52,     116,      70,      92
   16, val  , rbbb       ,          41,       697,         6,       7,       1,       3
   16, val  , lbbb       ,          39,         6,       402,       1,       2,      15
   16, val  , sb         ,          49,         1,         1,     354,       0,       3
   16, val  , st         ,          36,         4,         1,       0,     617,      17
   16, val  , af         ,          72,        13,         4,      13,      38,     382
   16, test , umdavb     ,         605,         7,        11,      73,       3,      10
   16, test , rbbb       ,           9,        20,         0,       0,       0,       1
   16, test , lbbb       ,           4,         0,        20,       1,       0,       2
   16, test , sb         ,           3,         0,         0,      12,       0,       0
   16, test , st         ,          17,         0,         0,       1,      17,       0
   16, test , af         ,           5,         0,         0,       1,       0,       5
   17, val  , umdavb     ,        5048,        83,        60,      95,      89,      74
   17, val  , rbbb       ,          49,       690,         6,       6,       2,       2
   17, val  , lbbb       ,          53,         7,       398,       1,       1,       5
   17, val  , sb         ,          68,         3,         0,     336,       0,       1
   17, val  , st         ,          22,         3,         5,       0,     631,      14
   17, val  , af         ,          87,        19,         8,       6,      41,     361
   17, test , umdavb     ,         652,         8,        13,      23,       5,       8
   17, test , rbbb       ,           6,        22,         0,       0,       1,       1
   17, test , lbbb       ,           2,         0,        25,       0,       0,       0
   17, test , sb         ,           4,         1,         0,      10,       0,       0
   17, test , st         ,          14,         2,         0,       0,      17,       2
   17, test , af         ,           5,         0,         0,       1,       1,       4
   18, val  , umdavb     ,        5079,        70,        58,     104,      58,      80
   18, val  , rbbb       ,          79,       650,         7,       9,       2,       8
   18, val  , lbbb       ,          52,         7,       395,       0,       0,      11
   18, val  , sb         ,          63,         3,         1,     337,       0,       4
   18, val  , st         ,          58,         2,         7,       0,     583,      25
   18, val  , af         ,          89,        11,        12,       7,      16,     387
   18, test , umdavb     ,         649,         6,         8,      24,       2,      20
   18, test , rbbb       ,           9,        18,         1,       0,       2,       0
   18, test , lbbb       ,           5,         0,        22,       0,       0,       0
   18, test , sb         ,           5,         0,         0,      10,       0,       0
   18, test , st         ,          15,         0,         3,       0,      16,       1
   18, test , af         ,           6,         0,         0,       0,       0,       5
   19, val  , umdavb     ,        5036,        87,        50,      94,      82,     100
   19, val  , rbbb       ,          38,       699,         4,       8,       3,       3
   19, val  , lbbb       ,          48,         5,       403,       1,       0,       8
   19, val  , sb         ,          62,         4,         1,     341,       0,       0
   19, val  , st         ,          30,         3,         4,       0,     617,      21
   19, val  , af         ,          59,        17,         7,       7,      21,     411
   19, test , umdavb     ,         642,         5,         4,      28,       3,      27
   19, test , rbbb       ,           6,        20,         0,       0,       0,       4
   19, test , lbbb       ,           6,         0,        21,       0,       0,       0
   19, test , sb         ,           5,         0,         0,      10,       0,       0
   19, test , st         ,          12,         0,         0,       1,      20,       2
   19, test , af         ,           5,         0,         0,       0,       0,       6
